store_number,citipy_city,reverse_geocoder_city
3513-125945,Anchorage,Anchorage
74352-84449,Anchorage,Anchorage
12449-152385,Anchorage,Anchorage
24936-233524,Anchorage,Anchorage
8973-85630,Anchorage,Anchorage
72788-84447,Anchorage,Anchorage
79549-106150,Anchorage,Anchorage
75988-107245,Anchorage,Anchorage
11426-99254,Anchorage,Anchorage
20349-108249,Anchorage,Elmendorf Air Force Base
74266-52019,Anchorage,Elmendorf Air Force Base
72727-61659,Anchorage,Anchorage
76943-129964,Anchorage,Elmendorf Air Force Base
72784-33081,Anchorage,Anchorage
9622-85633,Anchorage,Anchorage
75323-100264,Anchorage,Elmendorf Air Force Base
79664-81037,Anchorage,Anchorage
28191-249962,Anchorage,Anchorage
3774-145044,Anchorage,Anchorage
28028-249124,Anchorage,Anchorage
75697-94324,Anchorage,Anchorage
74430-51979,Anchorage,Anchorage
17941-159568,Anchorage,Elmendorf Air Force Base
19819-178265,Anchorage,Anchorage
74265-64199,Wasilla,Eagle River
10126-97747,Wasilla,Eagle River
72772-78880,Wasilla,Eagle River
79719-100712,College,College
74452-94707,Fairbanks,Fairbanks
72709-33079,College,College
27150-246609,College,College
72975-95761,Fairbanks,Fairbanks
75471-106357,Anchorage,Elmendorf Air Force Base
70386-135644,Fairbanks,Fairbanks
74917-98110,Homer,Homer
74283-69901,Juneau,Juneau
79324-94693,Juneau,Juneau
74640-93401,Ketchikan,Ketchikan
74474-94708,Kodiak,Kodiak
25843-94709,Fairbanks,North Pole
15313-159926,Palmer,Palmer
72980-94694,Palmer,Palmer
74706-97007,Anchorage,Seward
72946-94692,Soldotna,Soldotna
74695-94706,Soldotna,Soldotna
17912-136436,Wasilla,Wasilla
4146-104969,Wasilla,Wasilla
76916-131305,Wasilla,Wasilla
72773-82040,Wasilla,Wasilla
76795-96265,Alabaster,Alabaster
13210-95453,Alabaster,Alabaster
10796-102254,Alabaster,Alabaster
10248-100069,Athens,Athens
47255-121766,Auburn,Auburn
22803-218127,Auburn,Auburn
78065-105597,Auburn,Auburn
76912-128666,Bessemer,Bessemer
72614-22325,Vestavia Hills,Lake Purdy
13779-108621,Irondale,Irondale
24427-237908,Birmingham,Birmingham
18675-189964,Irondale,Tarrant
11083-104088,Homewood,Homewood
3478-92800,Mountain Brook,Lake Purdy
78059-106248,Vestavia Hills,Vestavia Hills
25845-235684,Birmingham,Birmingham
70067-133044,Birmingham,Birmingham
23642-225124,Birmingham,Birmingham
22706-222686,Irondale,Tarrant
75268-97436,Birmingham,Birmingham
13703-107628,Hoover,Hoover
6964-86620,Hoover,Hoover
8396-28812,Birmingham,Birmingham
72615-22327,Trussville,Trussville
17221-169985,Cullman,Cullman
13211-104121,Daphne,Spanish Fort
76832-97609,Decatur,Decatur
13704-107959,Decatur,Flint City
76742-95745,Dothan,Midland City
17646-153585,Florence,Florence
20271-202065,Florence,East Florence
9971-96354,Fairhope,Foley
76843-111224,Gardendale,Fultondale
23672-230991,Gadsden,Attalla
23630-227625,Gardendale,Gardendale
76584-99835,Fairhope,Gulf Shores
18944-175726,Vestavia Hills,Vestavia Hills
24032-228009,Hoover,Hoover
6965-85181,Vestavia Hills,Meadowbrook
5108-145307,Hoover,Hoover
28311-249956,Hoover,Hoover
8488-38759,Hoover,Hoover
10127-99686,Huntsville,Huntsville
72653-48479,Huntsville,Huntsville
9543-97230,Huntsville,Huntsville
9507-96863,Huntsville,Huntsville
12493-152666,Madison,Madison
72635-32262,Madison,Redstone Arsenal
10062-99521,Huntsville,Huntsville
11428-104120,Madison,Madison
48885-260445,Madison,Madison
16910-165028,Madison,Madison
19891-192724,Prichard,Prichard
9970-97273,Prichard,Prichard
11673-105401,Prichard,Prichard
25695-236913,Mobile,Tillmans Corner
72658-64920,Prichard,Tillmans Corner
11324-104129,Mobile,Mobile
8724-93235,Prichard,Tillmans Corner
10537-96355,Prichard,Tillmans Corner
8581-86640,Prichard,Prichard
10538-101306,Prichard,Prichard
10772-101748,Montgomery,Blue Ridge
21849-215404,Montgomery,Pike Road
3426-240988,Montgomery,Montgomery
9809-97244,Montgomery,Montgomery
2960-85962,Montgomery,Pike Road
10771-102253,Montgomery,Pike Road
8418-41260,Mountain Brook,Mountain Brook
76396-80263,Opelika,Opelika
25201-233569,Opelika,Opelika
9544-97240,Opelika,Opelika
24727-236464,Myrtle Grove,Orange Beach
76606-101463,Oxford,Oxford
9738-97528,Oxford,Oxford
20585-202066,Millbrook,Millbrook
76796-108570,Prattville,Prattville
10249-96359,Daphne,Spanish Fort
3453-93234,Trussville,Trussville
72121-3608,Tuscaloosa,Tuscaloosa
13482-94577,Tuscaloosa,Tuscaloosa
72668-65003,Tuscaloosa,Holt
48066-207044,Tuscaloosa,Tuscaloosa
9587-97243,Mountain Brook,Cahaba Heights
8560-79440,Vestavia Hills,Vestavia Hills
20651-205405,Arkadelphia,Arkadelphia
10991-101243,Bryant,Salem
25805-223044,Benton,Benton
8852-94767,Bentonville,Bentonville
13462-107100,Bentonville,Bentonville
27606-244627,Bentonville,Centerton
76683-102489,Bryant,Salem
9810-98145,Conway,Conway
70039-116729,Conway,Conway
76225-88902,Conway,Conway
9811-98146,Conway,Conway
75494-107197,Fayetteville,Fayetteville
17955-176365,Fayetteville,Fayetteville
24570-233804,Fayetteville,Farmington
10483-91426,Fayetteville,Johnson
7969-94774,Fort Smith,Fort Smith
76995-129147,Fort Smith,Arkoma
21675-208464,Fort Smith,Barling
8782-85860,Hot Springs,Hot Springs
11215-103991,Jacksonville,Jacksonville
19149-193825,Jonesboro,Jonesboro
48622-262264,Jonesboro,Jonesboro
29765-255204,Jonesboro,Jonesboro
76486-93022,Jonesboro,Jonesboro
28984-247347,Bryant,Shannon Hills
48764-205406,North Little Rock,North Little Rock
8583-79243,Little Rock,Little Rock
28604-249870,Little Rock,Little Rock
11216-103550,Little Rock,Little Rock
8579-84082,Little Rock,Little Rock
75684-84361,North Little Rock,North Little Rock
70011-120025,North Little Rock,North Little Rock
10484-101095,Little Rock,Little Rock
19456-176367,Maumelle,Maumelle
9048-151745,Little Rock,Little Rock
11431-104464,Little Rock,Little Rock
10580-101596,Little Rock,Little Rock
76960-129148,Maumelle,Maumelle
10657-100879,Maumelle,Maumelle
24964-239005,Maumelle,Maumelle
3883-108573,Jacksonville,Little Rock Air Force Base
11709-104595,Maumelle,Maumelle
28934-248986,Mountain Home,Mountain Home
25530-239094,Sherwood,Sherwood
9813-97844,Sherwood,Sherwood
10422-100877,Bentonville,Bentonville
70343-138924,Rogers,Lowell
10485-100878,Rogers,Lowell
18208-176368,Rogers,Rogers
11743-104981,Russellville,Russellville
17694-116730,Searcy,Searcy
25831-241311,Searcy,Kensett
